[[itemset] , support]
[[5, 43], 257]
[[5, 44], 354]
[[5, 45], 299]
[[5, 46], 310]
[[5, 47], 332]
[[5, 48], 254]
[[5, 49], 292]
[[6, 7], 237]
[[6, 8], 174]
[[6, 9], 247]
[[6, 10], 189]
[[6, 11], 209]
[[6, 12], 194]
[[6, 13], 169]
[[6, 14], 267]
[[6, 15], 240]
[[6, 16], 234]
[[6, 17], 228]
[[6, 18], 266]
[[6, 19], 270]
[[6, 20], 190]
[[6, 21], 188]
[[6, 22], 285]
[[6, 23], 199]
[[6, 24], 187]
[[6, 25], 174]
[[6, 26], 186]
[[6, 27], 288]
[[6, 28], 303]
[[6, 29], 217]
[[6, 30], 169]
[[6, 31], 195]
[[6, 32], 232]
[[6, 33], 238]
[[6, 34], 154]
[[6, 35], 267]
[[6, 36], 185]
[[6, 37], 216]
[[6, 38], 190]
[[6, 39], 168]
[[6, 40], 192]
[[6, 41], 213]
[[6, 42], 276]
[[6, 43], 171]
[[6, 44], 253]
[[6, 45], 245]
[[6, 46], 238]
[[6, 47], 251]
[[6, 48], 180]
[[6, 49], 202]
[[7, 8], 233]
[[7, 9], 355]
[[7, 10], 225]
[[7, 11], 2795]
[[7, 12], 260]
[[7, 13], 242]
[[7, 14], 333]
[[7, 15], 2731]
[[7, 16], 325]
[[7, 17], 268]
[[7, 18], 321]
[[7, 19], 338]
[[7, 20], 259]
[[7, 21], 255]
[[7, 22], 361]
[[7, 23], 255]
[[7, 24], 253]
[[7, 25], 233]
[[7, 26], 264]
[[7, 27], 350]
[[7, 28], 383]
[[7, 29], 274]
[[7, 30], 271]
[[7, 31], 243]
[[7, 32], 300]
[[7, 33], 373]
[[7, 34], 262]
[[7, 35], 324]
[[7, 36], 253]
[[7, 37], 2784]
[[7, 38], 282]
[[7, 39], 219]
[[7, 40], 241]
[[7, 41], 270]
[[7, 42], 372]
[[7, 43], 250]
[[7, 44], 305]
[[7, 45], 2367]
[[7, 46], 306]
[[7, 47], 325]
[[7, 48], 273]
[[7, 49], 2212]
[[8, 9], 300]
[[8, 10], 199]
[[8, 11], 186]
[[8, 12], 194]
[[8, 13], 152]
[[8, 14], 272]
[[8, 15], 222]
[[8, 16], 229]
[[8, 17], 218]
[[8, 18], 247]
[[8, 19], 241]
[[8, 20], 207]
[[8, 21], 175]
[[8, 22], 279]
[[8, 23], 162]
[[8, 24], 192]
[[8, 25], 175]
[[8, 26], 145]
[[8, 27], 274]
[[8, 28], 311]
[[8, 29], 194]
[[8, 30], 196]
[[8, 31], 197]
[[8, 32], 258]
[[8, 33], 244]
[[8, 34], 189]
[[8, 35], 253]
[[8, 36], 207]
[[8, 37], 227]
[[8, 38], 180]
[[8, 39], 183]
[[8, 40], 205]
[[8, 41], 182]
[[8, 42], 287]
[[8, 43], 181]
[[8, 44], 242]
[[8, 45], 239]
[[8, 46], 222]
[[8, 47], 241]
[[8, 48], 208]
[[8, 49], 184]
[[9, 10], 273]
[[9, 11], 308]
[[9, 12], 293]
[[9, 13], 265]
[[9, 14], 398]
[[9, 15], 344]
[[9, 16], 339]
[[9, 17], 281]
[[9, 18], 362]
[[9, 19], 380]
[[9, 20], 287]
[[9, 21], 262]
[[9, 22], 388]
[[9, 23], 270]
[[9, 24], 294]
[[9, 25], 278]
[[9, 26], 274]
[[9, 27], 386]
[[9, 28], 414]
[[9, 29], 278]
[[9, 30], 288]
[[9, 31], 286]
[[9, 32], 335]
[[9, 33], 324]
[[9, 34], 264]
[[9, 35], 377]
[[9, 36], 315]
[[9, 37], 329]
[[9, 38], 288]
[[9, 39], 279]
[[9, 40], 283]
[[9, 41], 255]
[[9, 42], 366]
[[9, 43], 280]
[[9, 44], 364]
[[9, 45], 338]
[[9, 46], 343]
[[9, 47], 343]
[[9, 48], 274]
[[9, 49], 269]
[[10, 11], 178]
[[10, 12], 183]
[[10, 13], 186]
[[10, 14], 287]
[[10, 15], 224]
[[10, 16], 233]
[[10, 17], 191]
[[10, 18], 240]
[[10, 19], 263]
[[10, 20], 174]
[[10, 21], 189]
[[10, 22], 270]
[[10, 23], 195]
[[10, 24], 207]
[[10, 25], 164]
[[10, 26], 199]
[[10, 27], 295]
[[10, 28], 328]
[[10, 29], 234]
[[10, 30], 160]
[[10, 31], 213]
[[10, 32], 206]
[[10, 33], 269]
[[10, 34], 190]
[[10, 35], 247]
[[10, 36], 218]
[[10, 37], 200]
[[10, 38], 180]
[[10, 39], 182]
[[10, 40], 190]
[[10, 41], 198]
[[10, 42], 310]
[[10, 43], 188]
[[10, 44], 233]
[[10, 45], 240]
[[10, 46], 235]
[[10, 47], 255]
[[10, 48], 169]
[[10, 49], 188]
[[11, 12], 207]
[[11, 13], 204]
[[11, 14], 335]
[[11, 15], 248]
[[11, 16], 279]
[[11, 17], 237]
[[11, 18], 312]
[[11, 19], 296]
[[11, 20], 204]
[[11, 21], 214]
[[11, 22], 337]
[[11, 23], 198]
[[11, 24], 196]
[[11, 25], 195]
[[11, 26], 200]
[[11, 27], 294]
[[11, 28], 359]
[[11, 29], 227]
[[11, 30], 188]
[[11, 31], 218]
[[11, 32], 297]
[[11, 33], 311]
[[11, 34], 197]
[[11, 35], 273]
[[11, 36], 201]
[[11, 37], 2751]
[[11, 38], 206]
[[11, 39], 208]
[[11, 40], 239]
[[11, 41], 198]
[[11, 42], 329]
[[11, 43], 194]
[[11, 44], 289]
[[11, 45], 2327]
[[11, 46], 258]
[[11, 47], 277]
[[11, 48], 218]
[[11, 49], 229]
[[12, 13], 205]
[[12, 14], 274]
[[12, 15], 232]
[[12, 16], 247]
[[12, 17], 246]
[[12, 18], 270]
[[12, 19], 260]
[[12, 20], 207]
[[12, 21], 215]
[[12, 22], 327]
[[12, 23], 197]
[[12, 24], 215]
[[12, 25], 197]
[[12, 26], 193]
[[12, 27], 289]
[[12, 28], 343]
[[12, 29], 210]
[[12, 30], 190]
[[12, 31], 2088]
[[12, 32], 254]
[[12, 33], 295]
[[12, 34], 203]
[[12, 35], 289]
[[12, 36], 2089]
[[12, 37], 199]
[[12, 38], 203]
[[12, 39], 205]
[[12, 40], 204]
[[12, 41], 222]
[[12, 42], 298]
[[12, 43], 190]
[[12, 44], 239]
[[12, 45], 258]
[[12, 46], 264]
[[12, 47], 232]
[[12, 48], 1709]
[[12, 49], 238]
[[13, 14], 282]
[[13, 15], 212]
[[13, 16], 250]
[[13, 17], 223]
[[13, 18], 281]
[[13, 19], 258]
[[13, 20], 192]
[[13, 21], 182]
[[13, 22], 283]
[[13, 23], 180]
[[13, 24], 181]
[[13, 25], 167]
[[13, 26], 166]
[[13, 27], 302]
[[13, 28], 336]
[[13, 29], 231]
[[13, 30], 181]
[[13, 31], 181]
[[13, 32], 209]
[[13, 33], 254]
[[13, 34], 177]
[[13, 35], 249]
[[13, 36], 221]
[[13, 37], 197]
[[13, 38], 196]
[[13, 39], 183]
[[13, 40], 194]
[[13, 41], 179]
[[13, 42], 296]
[[13, 43], 170]
[[13, 44], 259]
[[13, 45], 246]
[[13, 46], 225]
[[13, 47], 252]
[[13, 48], 171]
[[13, 49], 220]
[[14, 15], 312]
[[14, 16], 362]
[[14, 17], 324]
[[14, 18], 384]
[[14, 19], 350]
[[14, 20], 303]
[[14, 21], 274]
[[14, 22], 423]
[[14, 23], 285]
[[14, 24], 281]
[[14, 25], 283]
[[14, 26], 281]
[[14, 27], 422]
[[14, 28], 423]
[[14, 29], 294]
[[14, 30], 287]
[[14, 31], 280]
[[14, 32], 318]
[[14, 33], 376]
[[14, 34], 286]
[[14, 35], 357]
[[14, 36], 286]
[[14, 37], 327]
[[14, 38], 274]
[[14, 39], 331]
[[14, 40], 322]
[[14, 41], 280]
[[14, 42], 419]
[[14, 43], 289]
[[14, 44], 2835]
[[14, 45], 298]
[[14, 46], 356]
[[14, 47], 315]
[[14, 48], 298]
[[14, 49], 305]
[[15, 16], 272]
[[15, 17], 281]
[[15, 18], 269]
[[15, 19], 298]
[[15, 20], 219]
[[15, 21], 232]
[[15, 22], 359]
[[15, 23], 232]
[[15, 24], 225]
[[15, 25], 223]
[[15, 26], 229]
[[15, 27], 330]
[[15, 28], 393]
[[15, 29], 243]
[[15, 30], 217]
[[15, 31], 208]
[[15, 32], 278]
[[15, 33], 326]
[[15, 34], 259]
[[15, 35], 286]
[[15, 36], 236]
[[15, 37], 256]
[[15, 38], 217]
[[15, 39], 200]
[[15, 40], 231]
[[15, 41], 237]
[[15, 42], 332]
[[15, 43], 238]
[[15, 44], 297]
[[15, 45], 288]
[[15, 46], 288]
[[15, 47], 300]
[[15, 48], 215]
[[15, 49], 2210]
[[16, 17], 300]
[[16, 18], 287]
[[16, 19], 286]
[[16, 20], 241]
[[16, 21], 229]
[[16, 22], 356]
[[16, 23], 248]
[[16, 24], 254]
[[16, 25], 237]
[[16, 26], 229]
[[16, 27], 356]
[[16, 28], 366]
[[16, 29], 280]
[[16, 30], 231]
[[16, 31], 248]
[[16, 32], 3263]
[[16, 33], 323]
[[16, 34], 214]
[[16, 35], 303]
[[16, 36], 258]
[[16, 37], 267]
[[16, 38], 259]
[[16, 39], 224]
[[16, 40], 223]
[[16, 41], 249]
[[16, 42], 356]
[[16, 43], 224]
[[16, 44], 308]
[[16, 45], 2628]
[[16, 46], 299]
[[16, 47], 279]
[[16, 48], 253]
[[16, 49], 269]
[[17, 18], 289]
[[17, 19], 277]
[[17, 20], 206]
[[17, 21], 224]
[[17, 22], 351]
[[17, 23], 213]
[[17, 24], 206]
[[17, 25], 214]
[[17, 26], 233]
[[17, 27], 356]
[[17, 28], 372]
[[17, 29], 2142]
[[17, 30], 196]
[[17, 31], 228]
[[17, 32], 280]
[[17, 33], 326]
[[17, 34], 227]
[[17, 35], 310]
[[17, 36], 253]
[[17, 37], 250]
[[17, 38], 219]
[[17, 39], 228]
[[17, 40], 231]
[[17, 41], 209]
[[17, 42], 359]
[[17, 43], 227]
[[17, 44], 287]
[[17, 45], 277]
[[17, 46], 254]
[[17, 47], 2697]
[[17, 48], 220]
[[17, 49], 225]
[[18, 19], 337]
[[18, 20], 233]
[[18, 21], 264]
[[18, 22], 349]
[[18, 23], 266]
[[18, 24], 277]
[[18, 25], 228]
[[18, 26], 267]
[[18, 27], 333]
[[18, 28], 393]
[[18, 29], 294]
[[18, 30], 236]
[[18, 31], 283]
[[18, 32], 293]
[[18, 33], 332]
[[18, 34], 226]
[[18, 35], 3982]
[[18, 36], 288]
[[18, 37], 284]
[[18, 38], 258]
[[18, 39], 264]
[[18, 40], 272]
[[18, 41], 260]
[[18, 42], 377]
[[18, 43], 270]
[[18, 44], 325]
[[18, 45], 318]
[[18, 46], 285]
[[18, 47], 276]
[[18, 48], 266]
[[18, 49], 280]
[[19, 20], 251]
[[19, 21], 265]
[[19, 22], 368]
[[19, 23], 311]
[[19, 24], 257]
[[19, 25], 248]
[[19, 26], 252]
[[19, 27], 359]
[[19, 28], 408]
[[19, 29], 280]
[[19, 30], 282]
[[19, 31], 242]
[[19, 32], 297]
[[19, 33], 334]
[[19, 34], 244]
[[19, 35], 312]
[[19, 36], 276]
[[19, 37], 274]
[[19, 38], 260]
[[19, 39], 256]
[[19, 40], 260]
[[19, 41], 253]
[[19, 42], 400]
[[19, 43], 247]
[[19, 44], 293]
[[19, 45], 344]
[[19, 46], 324]
[[19, 47], 331]
[[19, 48], 249]
[[19, 49], 277]
[[20, 21], 163]
[[20, 22], 288]
[[20, 23], 194]
[[20, 24], 185]
[[20, 25], 192]
[[20, 26], 155]
[[20, 27], 278]
[[20, 28], 350]
[[20, 29], 216]
[[20, 30], 160]
[[20, 31], 215]
[[20, 32], 250]
[[20, 33], 275]
[[20, 34], 159]
[[20, 35], 222]
[[20, 36], 190]
[[20, 37], 210]
[[20, 38], 172]
[[20, 39], 194]
[[20, 40], 190]
[[20, 41], 222]
[[20, 42], 312]
[[20, 43], 186]
[[20, 44], 258]
[[20, 45], 257]
[[20, 46], 255]
[[20, 47], 230]
[[20, 48], 191]
[[20, 49], 189]
[[21, 22], 304]
[[21, 23], 185]
[[21, 24], 193]
[[21, 25], 169]
[[21, 26], 183]
[[21, 27], 292]
[[21, 28], 332]
[[21, 29], 195]
[[21, 30], 191]
[[21, 31], 194]
[[21, 32], 251]
[[21, 33], 281]
[[21, 34], 176]
[[21, 35], 235]
[[21, 36], 192]
[[21, 37], 212]
[[21, 38], 170]
[[21, 39], 177]
[[21, 40], 213]
[[21, 41], 187]
[[21, 42], 298]
[[21, 43], 169]
[[21, 44], 232]
[[21, 45], 264]
[[21, 46], 230]
[[21, 47], 228]
[[21, 48], 145]
[[21, 49], 241]
[[22, 23], 292]
[[22, 24], 297]
[[22, 25], 311]
[[22, 26], 293]
[[22, 27], 420]
[[22, 28], 459]
[[22, 29], 332]
[[22, 30], 289]
[[22, 31], 334]
[[22, 32], 362]
[[22, 33], 368]
[[22, 34], 304]
[[22, 35], 362]
[[22, 36], 292]
[[22, 37], 315]
[[22, 38], 266]
[[22, 39], 305]
[[22, 40], 282]
[[22, 41], 296]
[[22, 42], 393]
[[22, 43], 281]
[[22, 44], 371]
[[22, 45], 353]
[[22, 46], 354]
[[22, 47], 357]
[[22, 48], 318]
[[22, 49], 318]
[[23, 24], 2087]
[[23, 25], 174]
[[23, 26], 170]
[[23, 27], 276]
[[23, 28], 334]
[[23, 29], 207]
[[23, 30], 179]
[[23, 31], 214]
[[23, 32], 239]
[[23, 33], 294]
[[23, 34], 188]
[[23, 35], 265]
[[23, 36], 196]
[[23, 37], 203]
[[23, 38], 193]
[[23, 39], 203]
[[23, 40], 2101]
[[23, 41], 2079]
[[23, 42], 305]
[[23, 43], 1736]
[[23, 44], 243]
[[23, 45], 241]
[[23, 46], 267]
[[23, 47], 239]
[[23, 48], 185]
[[23, 49], 208]
[[24, 25], 162]
[[24, 26], 193]
[[24, 27], 267]
[[24, 28], 304]
[[24, 29], 213]
[[24, 30], 175]
[[24, 31], 226]
[[24, 32], 250]
[[24, 33], 294]
[[24, 34], 202]
[[24, 35], 243]
[[24, 36], 202]
[[24, 37], 234]
[[24, 38], 197]
[[24, 39], 175]
[[24, 40], 2086]
[[24, 41], 2087]
[[24, 42], 315]
[[24, 43], 1731]
[[24, 44], 249]
[[24, 45], 247]
[[24, 46], 231]
[[24, 47], 226]
[[24, 48], 198]
[[24, 49], 183]
[[25, 26], 177]
[[25, 27], 275]
[[25, 28], 338]
[[25, 29], 213]
[[25, 30], 173]
[[25, 31], 171]
[[25, 32], 216]
[[25, 33], 247]
[[25, 34], 170]
[[25, 35], 237]
[[25, 36], 183]
[[25, 37], 203]
[[25, 38], 189]
[[25, 39], 183]
[[25, 40], 163]
[[25, 41], 189]
[[25, 42], 261]
[[25, 43], 188]
[[25, 44], 230]
[[25, 45], 215]
[[25, 46], 229]
[[25, 47], 221]
[[25, 48], 194]
[[25, 49], 214]
[[26, 27], 277]
[[26, 28], 312]
[[26, 29], 207]
[[26, 30], 187]
[[26, 31], 200]
[[26, 32], 229]
[[26, 33], 260]
[[26, 34], 161]
[[26, 35], 249]
[[26, 36], 194]
[[26, 37], 209]
[[26, 38], 178]
[[26, 39], 177]
[[26, 40], 192]
[[26, 41], 198]
[[26, 42], 300]
[[26, 43], 167]
[[26, 44], 240]
[[26, 45], 227]
[[26, 46], 245]
[[26, 47], 260]
[[26, 48], 197]
[[26, 49], 201]
[[27, 28], 3819]
[[27, 29], 294]
[[27, 30], 268]
[[27, 31], 303]
[[27, 32], 388]
[[27, 33], 383]
[[27, 34], 289]
[[27, 35], 349]
[[27, 36], 304]
[[27, 37], 301]
[[27, 38], 334]
[[27, 39], 294]
[[27, 40], 278]
[[27, 41], 292]
[[27, 42], 387]
[[27, 43], 289]
[[27, 44], 364]
[[27, 45], 359]
[[27, 46], 305]
[[27, 47], 352]
[[27, 48], 307]
[[27, 49], 344]
[[28, 29], 313]
[[28, 30], 311]
[[28, 31], 365]
[[28, 32], 415]
[[28, 33], 433]
[[28, 34], 317]
[[28, 35], 381]
[[28, 36], 340]
[[28, 37], 344]
[[28, 38], 337]
[[28, 39], 346]
[[28, 40], 327]
[[28, 41], 303]
[[28, 42], 413]
[[28, 43], 329]
[[28, 44], 357]
[[28, 45], 387]
[[28, 46], 379]
[[28, 47], 361]
[[28, 48], 342]
[[28, 49], 382]
[[29, 30], 212]
[[29, 31], 225]
[[29, 32], 278]
[[29, 33], 290]
[[29, 34], 222]
[[29, 35], 271]
[[29, 36], 215]
[[29, 37], 237]
[[29, 38], 187]
[[29, 39], 209]
[[29, 40], 219]
[[29, 41], 209]
[[29, 42], 305]
[[29, 43], 214]
[[29, 44], 269]
[[29, 45], 286]
[[29, 46], 279]
[[29, 47], 2136]
[[29, 48], 207]
[[29, 49], 234]
[[30, 31], 176]
[[30, 32], 239]
[[30, 33], 260]
[[30, 34], 182]
[[30, 35], 257]
[[30, 36], 212]
[[30, 37], 201]
[[30, 38], 157]
[[30, 39], 198]
[[30, 40], 181]
[[30, 41], 172]
[[30, 42], 324]
[[30, 43], 177]
[[30, 44], 267]
[[30, 45], 239]
[[30, 46], 207]
[[30, 47], 221]
[[30, 48], 174]
[[30, 49], 225]
[[31, 32], 265]
[[31, 33], 290]
[[31, 34], 213]
[[31, 35], 251]
[[31, 36], 2092]
[[31, 37], 196]
[[31, 38], 195]
[[31, 39], 209]
[[31, 40], 206]
[[31, 41], 220]
[[31, 42], 297]
[[31, 43], 194]
[[31, 44], 251]
[[31, 45], 245]
[[31, 46], 249]
[[31, 47], 261]
[[31, 48], 1717]
[[31, 49], 202]
[[32, 33], 341]
[[32, 34], 214]
[[32, 35], 324]
[[32, 36], 274]
[[32, 37], 281]
[[32, 38], 238]
[[32, 39], 222]
[[32, 40], 223]
[[32, 41], 234]
[[32, 42], 390]
[[32, 43], 237]
[[32, 44], 302]
[[32, 45], 2653]
[[32, 46], 289]
[[32, 47], 306]
[[32, 48], 262]
[[32, 49], 284]
[[33, 34], 262]
[[33, 35], 315]
[[33, 36], 282]
[[33, 37], 290]
[[33, 38], 256]
[[33, 39], 261]
[[33, 40], 273]
[[33, 41], 310]
[[33, 42], 3230]
[[33, 43], 244]
[[33, 44], 343]
[[33, 45], 326]
[[33, 46], 330]
[[33, 47], 330]
[[33, 48], 247]
[[33, 49], 302]
[[34, 35], 217]
[[34, 36], 186]
[[34, 37], 215]
[[34, 38], 169]
[[34, 39], 171]
[[34, 40], 195]
[[34, 41], 194]
[[34, 42], 302]
[[34, 43], 182]
[[34, 44], 243]
[[34, 45], 242]
[[34, 46], 252]
[[34, 47], 233]
[[34, 48], 199]
[[34, 49], 203]
[[35, 36], 297]
[[35, 37], 269]
[[35, 38], 274]
[[35, 39], 269]
[[35, 40], 254]
[[35, 41], 274]
[[35, 42], 390]
[[35, 43], 255]
[[35, 44], 338]
[[35, 45], 309]
[[35, 46], 311]
[[35, 47], 323]
[[35, 48], 254]
[[35, 49], 272]
[[36, 37], 219]
[[36, 38], 171]
[[36, 39], 179]
[[36, 40], 205]
[[36, 41], 197]
[[36, 42], 329]
[[36, 43], 195]
[[36, 44], 243]
[[36, 45], 243]
[[36, 46], 257]
[[36, 47], 254]
[[36, 48], 1735]
[[36, 49], 209]
[[37, 38], 195]
[[37, 39], 200]
[[37, 40], 218]
[[37, 41], 235]
[[37, 42], 316]
[[37, 43], 198]
[[37, 44], 274]
[[37, 45], 2319]
[[37, 46], 266]
[[37, 47], 269]
[[37, 48], 206]
[[37, 49], 217]
[[38, 39], 177]
[[38, 40], 191]
[[38, 41], 193]
[[38, 42], 303]
[[38, 43], 192]
[[38, 44], 252]
[[38, 45], 235]
[[38, 46], 243]
[[38, 47], 242]
[[38, 48], 172]
[[38, 49], 198]
[[39, 40], 204]
[[39, 41], 196]
[[39, 42], 328]
[[39, 43], 200]
[[39, 44], 278]
[[39, 45], 221]
[[39, 46], 259]
[[39, 47], 225]
[[39, 48], 203]
[[39, 49], 192]
[[40, 41], 2088]
[[40, 42], 308]
[[40, 43], 1727]
[[40, 44], 268]
[[40, 45], 246]
[[40, 46], 260]
[[40, 47], 254]
[[40, 48], 221]
[[40, 49], 216]
[[41, 42], 322]
[[41, 43], 1719]
[[41, 44], 238]
[[41, 45], 235]
[[41, 46], 257]
[[41, 47], 237]
[[41, 48], 182]
[[41, 49], 228]
[[42, 43], 289]
[[42, 44], 425]
[[42, 45], 351]
[[42, 46], 343]
[[42, 47], 405]
[[42, 48], 308]
[[42, 49], 332]
[[43, 44], 241]
[[43, 45], 254]
[[43, 46], 229]
[[43, 47], 234]
[[43, 48], 185]
[[43, 49], 204]
[[44, 45], 296]
[[44, 46], 324]
[[44, 47], 331]
[[44, 48], 253]
[[44, 49], 273]
[[45, 46], 311]
[[45, 47], 275]
[[45, 48], 246]
[[45, 49], 261]
[[46, 47], 274]
[[46, 48], 219]
[[46, 49], 240]
[[47, 48], 236]
[[47, 49], 257]
[[48, 49], 190]
